Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
IE 201,Financial Engineering,16559,LCD,12:30 PM - 01:45 PM,TR,"Darabi, H",Meet on campus
IE 312,Dynamic Systems and Control,21976,LCD,12:30 PM - 01:45 PM,TR,"Kim, M",Meet on campus
IE 312,Dynamic Systems and Control,35720,LCD,04:00 PM - 04:50 PM,MWF,"Cetin, S",Meet on campus
IE 342,Probability and Statistics for Engineers,29781,LCD,09:30 AM - 10:45 AM,TR,"Huang, J",Meet on campus
IE 342,Probability and Statistics for Engineers,42133,LCD,10:00 AM - 10:50 AM,MWF,"Nicolsen, B",Meet on campus
IE 342,Probability and Statistics for Engineers,46455,LCD,12:00 PM - 12:50 PM,MWF,"Nicolsen, B",Meet on campus
IE 380,Manufacturing Process Principles,16571,LCD,09:00 AM - 09:50 AM,MWF,"Shahbazian-Yassar, R",Meet on campus
IE 380,Manufacturing Process Principles,42670,LCD,10:00 AM - 10:50 AM,MWF,"Shahbazian-Yassar, R",Meet on campus
IE 397,Senior Design Il,37340,LCD,ARRANGED,,"Brown, M",Meet on campus
IE 397,Senior Design Il,38074,LCD,ARRANGED,,"Brown, M",Meet on campus
IE 397,Senior Design Il,43743,LCD,ARRANGED,,"Brown, M",Meet on campus
IE 397,Senior Design Il,36816,LCD,ARRANGED,,"Komperda, J",Meet on campus
IE 397,Senior Design Il,38598,LCD,ARRANGED,,"Komperda, J",Meet on campus
IE 442,Design and Analysis of Experiments in Engineering,39404,LCD - AS1,02:00 PM - 03:15 PM,TR,"Tejada Lopez, C",Meet on campus
IE 442,Design and Analysis of Experiments in Engineering,41284,LCD - AS2,02:00 PM - 03:15 PM,TR,"Tejada Lopez, C",Meet on campus
IE 445,Interdisciplinary Product Development 2,31905,LCD,02:00 PM - 04:50 PM,M,"Scott, M",Meet on campus
IE 446,Quality Control and Reliability,16566,LCD,03:30 PM - 04:45 PM,TR,"Huang, J",Meet on campus
IE 446,Quality Control and Reliability,19267,LCD,03:30 PM - 04:45 PM,TR,"Huang, J",Meet on campus
IE 463,Plant Layout and Materials Handling,16568,LCD,11:00 AM - 11:50 AM,MWF,"Williams, Q",Meet on campus
IE 463,Plant Layout and Materials Handling,19269,LCD,11:00 AM - 11:50 AM,MWF,"Williams, Q",Meet on campus
IE 466,Production Planning and Inventory Control,37765,LCD,01:00 PM - 01:50 PM,MWF,"Williams, Q",Meet on campus
IE 466,Production Planning and Inventory Control,37766,LCD,01:00 PM - 01:50 PM,MWF,"Williams, Q",Meet on campus
IE 472,Operations Research II,16570,LCD,02:00 PM - 02:50 PM,MWF,"He, D",Meet on campus
IE 472,Operations Research II,19538,LCD,02:00 PM - 02:50 PM,MWF,"He, D",Meet on campus
IE 494,Special Topics in Industrial Engineering,32349,LCD,03:00 PM - 04:15 PM,MW,"Williams, Q",Meet on campus
IE 494,Special Topics in Industrial Engineering,32350,LCD,03:00 PM - 04:15 PM,MW,"Williams, Q",Meet on campus
IE 499,Professional Development Seminar,38366,LCD,05:00 PM - 05:50 PM,W,"Nicolsen, B",Meet on campus
IE 511,Mechatronics II,21798,LEC - AL,03:30 PM - 04:20 PM,TR,"Kim, M",Meet on campus
IE 571,Statistical Quality Control and Assurance,37284,LCD,06:30 PM - 09:00 PM,R,"Liotine, M",Meet on campus
IE 594,Current Topics in Industrial Engineering,39825,LCD,09:30 AM - 10:45 AM,MW,"He, D",Meet on campus
IE 594,Current Topics in Industrial Engineering,39728,LCD,05:00 PM - 06:15 PM,TR,"Anahideh, H; Scott, S",Meet on campus
