Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
CS 107,Introduction to Computing and Programming,17412,LEC - AL1,11:00 AM - 11:50 AM,MWF,"Bell, J",Meet on campus
CS 109,Programming for Engineers with MatLab,44904,LCD - AS1,09:00 AM - 09:50 AM,MW,"Theys, M",Meet on campus
CS 109,Programming for Engineers with MatLab,44905,LCD - AS2,10:00 AM - 10:50 AM,MW,"Theys, M",Meet on campus
CS 111,Program Design I,34013,LCD - AS1,09:00 AM - 09:50 AM,MWF,"Reckinger, S",Meet on campus
CS 111,Program Design I,39369,LCD - AS2,01:00 PM - 01:50 PM,MWF,"Hayes, D",Meet on campus
CS 111,Program Design I,40575,LCD - AS3,02:00 PM - 02:50 PM,MWF,"Hayes, D",Meet on campus
CS 113,Program Design I in the Context of Law and Public Policy,45612,LCD - AL1,03:30 PM - 04:45 PM,TR,"Sloan, R",Meet on campus
CS 141,Program Design II,34447,LCD - AS1,03:00 PM - 03:50 PM,MWF,"Rooshenas, P",Meet on campus
CS 141,Program Design II,40571,LCD - BS,02:00 PM - 02:50 PM,MWF,"Hodges, M",Meet on campus
CS 151,Mathematical Foundations of Computing,34014,LEC - AL1,01:00 PM - 01:50 PM,MWF,"Katok, Z",Meet on campus
CS 151,Mathematical Foundations of Computing,40572,LEC - AL2,03:00 PM - 03:50 PM,MWF,"Bello Lander, G",Meet on campus
CS 211,Programming Practicum,47008,LCD - AS1,10:00 AM - 10:50 AM,WF,"Koehler, A",Meet on campus
CS 211,Programming Practicum,47009,LCD - AS2,04:00 PM - 04:50 PM,WF,"Reckinger, S",Meet on campus
CS 251,Data Structures,40573,LCD - AS2,10:00 AM - 10:50 AM,MWF,"Ordentlich, E",Meet on campus
CS 251,Data Structures,34460,LCD - AS1,09:00 AM - 09:50 AM,MWF,"Dey, D",Meet on campus
CS 261,Machine Organization,47017,LCD - AS,03:30 PM - 04:45 PM,TR,"Diaz Herrera, D",Meet on campus
CS 277,Technical and Professional Communication in Computer Science,47010,LCD - AS,10:00 AM - 10:50 AM,M,"Carson, J; Cranch, C",Meet on campus
CS 294,Special Topics in Computer Science,43541,LCD,04:00 PM - 05:50 PM,W,"Cranch, C",Meet on campus
CS 294,Special Topics in Computer Science,47600,LCD,04:00 PM - 05:50 PM,T,"Cranch, C",Meet on campus
CS 301,Languages and Automata,17422,LEC - AL1,05:00 PM - 06:15 PM,TR,"Ibrahim, O",Meet on campus
CS 341,Programming Language Design and Implementation,34723,LCD,09:30 AM - 10:45 AM,TR,"Abbas, S; Garg, K; Jain, S; Kidane, E; Xu, K",Meet on campus
CS 341,Programming Language Design and Implementation,41552,LCD,11:00 AM - 12:15 PM,TR,"Abbas, S; Garg, K; Jain, S; Kidane, E; Xu, K",Meet on campus
CS 342,Software Design,35976,LCD,05:00 PM - 06:15 PM,TR,"Jiang, K; Lam, A; McCarty, E; Song, Z; Wang, C; Zhu, Y",Meet on campus
CS 351,Advanced Data Structure Practicum,46812,LCD,11:00 AM - 11:50 AM,MWF,"Lillis, J",Meet online at set times
CS 361,Systems Programming,47018,LCD - AS,02:00 PM - 03:15 PM,TR,"Maratos, G",Meet on campus
CS 362,Computer Design,47019,LCD - AS,11:00 AM - 12:15 PM,TR,"Troy, P",Meet on campus
CS 377,Ethical Issues in Computing,41964,LCD,02:00 PM - 03:15 PM,TR,"Burton, E",Meet on campus
CS 377,Ethical Issues in Computing,39374,LCD,05:00 PM - 06:15 PM,TR,"Clayville, K",Meet on campus
CS 377,Ethical Issues in Computing,47308,LCD,03:30 PM - 04:45 PM,TR,"Burton, E",Meet on campus
CS 377,Ethical Issues in Computing,40663,LCD,12:30 PM - 01:45 PM,TR,"Burton, E",Meet on campus
CS 377,Ethical Issues in Computing,38111,LCD,11:00 AM - 12:15 PM,TR,"Clayville, K",Meet on campus
CS 377,Ethical Issues in Computing,36312,LCD,09:30 AM - 10:45 AM,TR,"Burton, E",Meet on campus
CS 377,Ethical Issues in Computing,47309,LCD,ARRANGED,,"Clayville, K",Online with deadlines
CS 377,Ethical Issues in Computing,41965,LCD,ARRANGED,,"Clayville, K",Online with deadlines
CS 378,Framework-based Software Development for Hand-held Devices,45596,LCD,09:30 AM - 10:45 AM,TR,"Dastidar, S; Hallenbeck, M",Meet on campus
CS 401,Computer Algorithms I,41266,LCD,05:00 PM - 06:15 PM,MW,"DasGupta, B; Ebrahimi, S; Park, S",Meet on campus
CS 401,Computer Algorithms I,43453,LCD,12:30 PM - 01:45 PM,TR,"Sun, X; Zhao, C",Meet on campus
CS 401,Computer Algorithms I,43452,LCD,12:30 PM - 01:45 PM,TR,"Sun, X; Zhao, C",Meet on campus
CS 401,Computer Algorithms I,20667,LCD,12:30 PM - 01:45 PM,TR,"Lillis, J",On campus and online
CS 401,Computer Algorithms I,41267,LCD,05:00 PM - 06:15 PM,MW,"DasGupta, B; Ebrahimi, S; Park, S",Meet on campus
CS 401,Computer Algorithms I,20665,LCD,11:00 AM - 11:50 AM,MWF,"Adrovic, D; Turan, G",Meet on campus
CS 401,Computer Algorithms I,17454,LCD,11:00 AM - 11:50 AM,MWF,"Adrovic, D; Turan, G",Meet on campus
CS 401,Computer Algorithms I,43263,LCD,09:30 AM - 10:45 AM,TR,"Fang, L; Sidiropoulos, A",Meet on campus
CS 401,Computer Algorithms I,43262,LCD,09:30 AM - 10:45 AM,TR,"Fang, L; Sidiropoulos, A",Meet on campus
CS 401,Computer Algorithms I,17455,LCD,12:30 PM - 01:45 PM,TR,"Lillis, J",On campus and online
CS 407,Economics and Computation,44387,LEC,09:30 AM - 10:45 AM,TR,"Kash, I; Narayana, S",Meet on campus
CS 407,Economics and Computation,44388,LEC,09:30 AM - 10:45 AM,TR,"Kash, I; Narayana, S",Meet on campus
CS 411,Artificial Intelligence I,38550,LCD,02:00 PM - 03:15 PM,TR,"Kash, I; Sullins, M",Meet on campus
CS 411,Artificial Intelligence I,38549,LCD,02:00 PM - 03:15 PM,TR,"Kash, I; Sullins, M",Meet on campus
CS 411,Artificial Intelligence I,44910,LCD,11:00 AM - 11:50 AM,MWF,"Adhikari, S; Gmytrasiewicz, P",Meet on campus
CS 411,Artificial Intelligence I,44911,LCD,11:00 AM - 11:50 AM,MWF,"Adhikari, S; Gmytrasiewicz, P",Meet on campus
CS 418,Introduction to Data Science,41110,LEC,02:00 PM - 03:15 PM,MW,"Gupta, K; Islam, A; Zheleva, E",Meet on campus
CS 418,Introduction to Data Science,41111,LEC,02:00 PM - 03:15 PM,MW,"Gupta, K; Islam, A; Zheleva, E",Meet on campus
CS 418,Introduction to Data Science,43230,LEC,03:30 PM - 04:45 PM,TR,"Baghershahi, P; Gupta, K; Medya, S",Meet on campus
CS 418,Introduction to Data Science,43231,LEC,03:30 PM - 04:45 PM,TR,"Baghershahi, P; Gupta, K; Medya, S",Meet on campus
CS 421,Natural Language Processing,28653,LEC,03:30 PM - 04:45 PM,MW,"Bhattacharya, A; Di Eugenio, B; Guo, M",Meet on campus
CS 421,Natural Language Processing,28654,LEC,03:30 PM - 04:45 PM,MW,"Bhattacharya, A; Di Eugenio, B; Guo, M",Meet on campus
CS 422,User Interface Design and Programming,47021,LCD,02:00 PM - 03:15 PM,TR,"Soni, N; Zhao, S",Meet on campus
CS 422,User Interface Design and Programming,47020,LCD,02:00 PM - 03:15 PM,TR,"Soni, N; Zhao, S",Meet on campus
CS 422,User Interface Design and Programming,19650,LCD,09:30 AM - 10:45 AM,MW,"Kerne, A; Omar, K",Meet on campus
CS 422,User Interface Design and Programming,20669,LCD,09:30 AM - 10:45 AM,MW,"Kerne, A; Omar, K",Meet on campus
CS 425,Computer Graphics I,44389,LCD - AS1,08:00 AM - 09:15 AM,T,"Miranda, F",Meet on campus
CS 425,Computer Graphics I,44391,LCD - AS2,08:00 AM - 09:15 AM,T,"Miranda, F",Meet on campus
CS 426,Video Game Design and Development,27145,LCD,10:00 AM - 12:30 PM,W,"Marai, G",Meet on campus
CS 426,Video Game Design and Development,27146,LCD,10:00 AM - 12:30 PM,W,"Marai, G",Meet on campus
CS 440,Software Engineering I,29905,LCD,01:00 PM - 01:50 PM,MWF,"Bell, J",Meet on campus
CS 440,Software Engineering I,29904,LCD,01:00 PM - 01:50 PM,MWF,"Bell, J; Prasaad, A",Meet on campus
CS 442,Software Engineering II,33785,LEC,02:00 PM - 02:50 PM,MWF,"Azarhooshang, N; Bell, J",Meet on campus
CS 442,Software Engineering II,33786,LEC,02:00 PM - 02:50 PM,MWF,"Azarhooshang, N; Bell, J",Meet on campus
CS 450,Introduction to Networking,17432,LEC,11:00 AM - 12:15 PM,TR,"Straight, A; Vamanan, B",Meet on campus
CS 450,Introduction to Networking,19163,LEC,11:00 AM - 12:15 PM,TR,"Straight, A; Vamanan, B",Meet on campus
