Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
CS 484,Secure Web Application Development,46593,LCD,02:00 PM - 02:50 PM,MWF,"Fulton, C",
CS 484,Secure Web Application Development,46594,LCD,02:00 PM - 02:50 PM,MWF,"Fulton, C",
CS 491,Seminar,39059,LCD,ARRANGED,,"Di Eugenio, B",Mixed in-person & online instr
CS 494,Special Topics in Computer Science,46544,LCD,02:00 PM - 04:50 PM,M,"Esmailbeigi, H",On Campus
CS 494,Special Topics in Computer Science,43965,LCD,02:00 PM - 04:50 PM,M,"Esmailbeigi, H; Hummel, J",On Campus
CS 494,Special Topics in Computer Science,45500,LCD,02:00 PM - 03:15 PM,TR,"Miao, P",On Campus
CS 494,Special Topics in Computer Science,45501,LCD,02:00 PM - 03:15 PM,TR,"Miao, P",On Campus
CS 494,Special Topics in Computer Science,44014,LCD,03:00 PM - 05:30 PM,M,"Caragea, C",On Campus
CS 494,Special Topics in Computer Science,44015,LCD,03:00 PM - 05:30 PM,M,"Caragea, C",On Campus
CS 499,Professional Development Seminar,32402,LCD,ARRANGED,,"Bell, J",
CS 501,Computer Algorithms II,34850,LCD,05:00 PM - 06:15 PM,TR,"Asudeh, A",On Campus
CS 502,Design and Analysis of Efficient Algorithms in Computational Molecular Biology,41831,LCD,02:00 PM - 02:50 PM,MWF,"DasGupta, B",On Campus
CS 514,Applied Artificial Intelligence,22882,LCD,10:00 AM - 10:50 AM,MWF,"Gmytrasiewicz, P",On Campus
CS 520,Causal Inference and Learning,45269,LCD,03:30 PM - 04:45 PM,TR,"Zheleva, E",On Campus
CS 553,Distributed Computing Systems,39828,LCD,02:00 PM - 03:15 PM,TR,"Kshemkalyani, A",On Campus
CS 554,Advanced Topics in Concurrent Computing Systems,28126,LCD,05:00 PM - 06:15 PM,TR,"Grechanik, M",On Campus
CS 559,Neural Networks,25622,LCD,02:00 PM - 03:15 PM,TR,"Koyuncu, E",On Campus
CS 565,Physical Design Automation,28478,LCD,12:30 PM - 01:45 PM,TR,"Lillis, J",On Campus
CS 583,Data Mining and Text Mining,30286,LCD,12:30 PM - 01:45 PM,TR,"Liu, B",On Campus
CS 583,Data Mining and Text Mining,45283,LCD,02:00 PM - 03:15 PM,TR,"Liu, B",On Campus
CS 586,Data and Web Semantics,22888,LEC,02:00 PM - 04:30 PM,F,"Shumway, D; Sistla, A",On Campus
CS 588,Security and Privacy in Networked and Distributed Systems,46235,LCD,06:00 PM - 07:15 PM,MW,"Solworth, J",On Campus
CS 590,Research Methods in Computer Science,45284,LCD,04:30 PM - 05:45 PM,MW,"Di Eugenio, B",On Campus
CS 594,Special Topics,43915,LCD,09:30 AM - 10:45 AM,MW,"Miranda, F",On Campus
CS 594,Special Topics,43136,LCD,11:00 AM - 12:15 PM,TR,"Sidiropoulos, A",On Campus
CS 594,Special Topics,27441,LCD,03:00 PM - 05:30 PM,W,"Michaelis, J",On Campus
