Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 205,Introduction to Thermodynamics,38129,LCD,01:00 PM - 01:50 PM,MWF,"Yurkiv, V",Online Asynchronous
ME 205,Introduction to Thermodynamics,15795,LCD,02:00 PM - 02:50 PM,MWF,"Manafzadeh, S",Online Synchronous
ME 210,Engineering Dynamics,15796,LCD,10:00 AM - 10:50 AM,MWF,"Lilley, C",Online Asynchronous
ME 210,Engineering Dynamics,38130,LCD,11:00 AM - 11:50 AM,MWF,"Scott, M",Online Asynchronous
ME 211,Fluid Mechanics I,21434,LCD - AS1,09:00 AM - 09:50 AM,MWF,"Xu, J",Online Asynchronous
ME 211,Fluid Mechanics I,38070,LCD - AS2,03:00 PM - 03:50 PM,MWF,"Paoli, R",Online Asynchronous
ME 250,Introduction to Engineering Design and Graphics,15805,LEC - AL1,09:00 AM - 09:50 AM,MWF,"Szwalek, J",Online Synchronous
ME 250,Introduction to Engineering Design and Graphics,35050,LEC - BL1,02:00 PM - 02:50 PM,MWF,"Siow, Y",Online Synchronous
ME 250,Introduction to Engineering Design and Graphics,36292,LEC - CL1,11:00 AM - 11:50 AM,MWF,"Szwalek, J",Online Synchronous
ME 250,Introduction to Engineering Design and Graphics,38131,LEC - DL,04:00 PM - 04:50 PM,MWF,"Abiade, J",Online Synchronous
ME 250,Introduction to Engineering Design and Graphics,42196,LEC - EL,09:30 AM - 10:45 AM,TR,"Bhounsule, P",Online Synchronous
ME 261,Materials for Manufacturing,24298,LCD,04:00 PM - 04:50 PM,MWF,"Daly, M",Online Synchronous
ME 308,Mechanical Vibrations,15806,LCD,12:00 PM - 12:50 PM,MWF,"Siow, Y",Online Synchronous
ME 308,Mechanical Vibrations,35710,LCD,01:00 PM - 01:50 PM,MWF,"Lilley, C",Online Asynchronous
ME 312,Dynamic Systems and Control,35719,LCD,04:00 PM - 04:50 PM,MWF,"Kim, M",Online Synchronous
ME 312,Dynamic Systems and Control,19567,LCD,10:00 AM - 10:50 AM,MWF,"Reckinger, S",Online Asynchronous
ME 320,Mechanisms and Dynamics of Machinery,15808,LCD,02:00 PM - 03:15 PM,TR,"Brown, M",Online Synchronous
ME 321,Heat Transfer,15812,LCD - AS1,04:00 PM - 04:50 PM,MWF,"Jung, E",Online Asynchronous
ME 321,Heat Transfer,37327,LCD - AS2,11:00 AM - 11:50 AM,MWF,"Anand, S",Online Synchronous
ME 325,Intermediate Thermodynamics,38817,LCD,10:00 AM - 10:50 AM,MWF,"Lynch, P",Online Synchronous
ME 325,Intermediate Thermodynamics,15813,LCD,02:00 PM - 02:50 PM,MWF,"Megaridis, C",Online Synchronous
ME 341,Experimental Methods in Mechanical Engineering,36800,LEC - AL2,02:00 PM - 02:50 PM,MW,"Szwalek, J",Online Asynchronous
ME 347,Introduction to Computer-Aided Design,39388,LEC - AL,09:00 AM - 09:50 AM,MW,"Hatami Marbini, H",Online Asynchronous
ME 347,Introduction to Computer-Aided Design,40126,LEC - AL1,10:00 AM - 10:50 AM,MW,"Hatami Marbini, H",Online Asynchronous
ME 370,Mechanical Engineering Design,33178,LCD,12:30 PM - 01:45 PM,TR,"Subramanian, A",Online Asynchronous
ME 370,Mechanical Engineering Design,42477,LCD,05:00 PM - 06:15 PM,TR,"Finan, J",Online Synchronous
ME 380,Manufacturing Process Principles,15847,LCD,08:00 AM - 08:50 AM,MWF,"Shahbazian-Yassar, R",Online Asynchronous
ME 380,Manufacturing Process Principles,42668,LCD,09:00 AM - 09:50 AM,MWF,"Abiade, J",Online Asynchronous
ME 397,Senior Design Il,36801,LCD,ARRANGED,,"Komperda, J",Online Synchronous
ME 397,Senior Design Il,38073,LCD,ARRANGED,,"Brown, M",Online Synchronous
