Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 205,Introduction to Thermodynamics,14491,LCD,04:00 PM - 06:30 PM,MW,"Siow, Y",Online Synchronous
ME 210,Engineering Dynamics,14492,LCD,01:00 PM - 03:30 PM,MW,"Reckinger, S",Online Synchronous
ME 347,Introduction to Computer-Aided Design,21974,LEC - AL,12:00 PM - 02:00 PM,TR,"Hatami Marbini, H",Online Asynchronous
ME 428,Numerical Methods in Mechanical Engineering,14496,LCD,10:00 AM - 12:30 PM,MW,"Komperda, J",Online Synchronous
ME 428,Numerical Methods in Mechanical Engineering,14763,LCD,10:00 AM - 12:30 PM,MW,"Komperda, J",Online Synchronous
