Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 205,Introduction to Thermodynamics,38129,LCD,12:30 PM - 01:45 PM,TR,"Sankaranarayanan, S",Meet on campus
ME 205,Introduction to Thermodynamics,15795,LCD,02:00 PM - 02:50 PM,MWF,"Manafzadeh, S",Meet on campus
ME 210,Engineering Dynamics,15796,LCD,10:00 AM - 10:50 AM,MWF,"Lilley, C",Meet on campus
ME 210,Engineering Dynamics,38130,LCD,12:00 PM - 12:50 PM,MWF,"Lilley, C",Meet on campus
ME 211,Fluid Mechanics I,21434,LCD - AS1,01:00 PM - 01:50 PM,MWF,"Mirbod, P",Meet on campus
ME 211,Fluid Mechanics I,38070,LCD - AS2,11:00 AM - 11:50 AM,MWF,"Jung, E",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,15805,LEC - AL1,09:00 AM - 09:50 AM,MWF,"Szwalek, J",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,35050,LEC - BL1,02:00 PM - 02:50 PM,MWF,"Siow, Y",Meet on campus
ME 250,Introduction to Engineering Design and Graphics,36292,LEC - CL1,11:00 AM - 11:50 AM,MWF,"Abiade, J",Meet on campus
ME 261,Materials for Manufacturing,24298,LCD,02:00 PM - 02:50 PM,MWF,"Daly, M",Meet on campus
ME 308,Mechanical Vibrations,15806,LCD,11:00 AM - 11:50 AM,MWF,"Siow, Y",Meet on campus
ME 312,Dynamic Systems and Control,19567,LCD,12:30 PM - 01:45 PM,TR,"Demir, M",Meet on campus
ME 312,Dynamic Systems and Control,35719,LCD,04:00 PM - 04:50 PM,MWF,"Reckinger, S",Meet on campus
ME 320,Mechanisms and Dynamics of Machinery,15808,LCD,02:00 PM - 03:15 PM,TR,"Brown, M",Meet on campus
ME 321,Heat Transfer,37327,LCD - AS2,11:00 AM - 11:50 AM,MWF,"Anand, S",Meet on campus
ME 321,Heat Transfer,15812,LCD - AS1,02:00 PM - 02:50 PM,MWF,"Lynch, P",Meet on campus
ME 325,Intermediate Thermodynamics,38817,LCD,09:00 AM - 09:50 AM,MWF,"Anand, S",Meet on campus
ME 325,Intermediate Thermodynamics,15813,LCD,02:00 PM - 02:50 PM,MWF,"Megaridis, C",Meet on campus
ME 341,Experimental Methods in Mechanical Engineering,15819,LEC - AL1,01:00 PM - 01:50 PM,MW,"Szwalek, J",Meet on campus
ME 341,Experimental Methods in Mechanical Engineering,36800,LEC - BL,11:00 AM - 11:50 AM,MW,"Xu, J",Meet on campus
ME 347,Introduction to Computer-Aided Design,40126,LEC - AL1,12:00 PM - 12:50 PM,MW,"Szwalek, J",Meet on campus
ME 370,Mechanical Engineering Design,42477,LCD,01:00 PM - 01:50 PM,MWF,"Finan, J",Meet on campus
ME 370,Mechanical Engineering Design,33178,LCD,03:30 PM - 04:45 PM,TR,"Hatami Marbini, H",Meet on campus
ME 380,Manufacturing Process Principles,15847,LCD,08:00 AM - 08:50 AM,MWF,"Abiade, J",Meet on campus
ME 380,Manufacturing Process Principles,42668,LCD,03:00 PM - 03:50 PM,MWF,"Shahbazian-Yassar, R",Meet on campus
ME 397,Senior Design Il,43742,LCD,ARRANGED,,"Alonso, M",Meet on campus
ME 397,Senior Design Il,37339,LCD,ARRANGED,,"Brown, M",Meet on campus
ME 397,Senior Design Il,38073,LCD,ARRANGED,,"Brown, M",Meet on campus
ME 397,Senior Design Il,36801,LCD,ARRANGED,,"Komperda, J",Meet on campus
ME 397,Senior Design Il,38597,LCD,ARRANGED,,"Komperda, J",Meet on campus
