Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
CS 100,Discovering Computer Science,10615,LCD - AS1,03:00 PM - 03:50 PM,MWF,"Bell, J",Meet on campus
CS 107,Introduction to Computing and Programming,10634,LEC - AL1,10:00 AM - 10:50 AM,MWF,"Bell, J",Meet on campus
CS 109,Programming for Engineers with MatLab,36425,LCD - BS1,12:00 PM - 12:50 PM,MW,,Meet on campus
CS 109,Programming for Engineers with MatLab,46120,LCD - BS2,09:00 AM - 09:50 AM,MW,"Theys, M",Meet on campus
CS 109,Programming for Engineers with MatLab,46121,LCD - BS3,12:00 PM - 12:50 PM,MW,"Theys, M",Meet on campus
CS 110,MATLAB Programming for Engineers,41425,LCD,08:00 AM - 09:50 AM,T,,
CS 110,MATLAB Programming for Engineers,,LCD,10:00 AM - 10:50 AM,F,,
CS 110,MATLAB Programming for Engineers,43552,LCD,10:00 AM - 10:50 AM,F,,
CS 110,MATLAB Programming for Engineers,,LCD,10:00 AM - 11:50 AM,T,,
CS 111,Program Design I,40307,LCD,12:30 PM - 01:45 PM,TR,,
CS 111,Program Design I,34656,LCD - AS1,09:00 AM - 09:50 AM,MWF,"Reckinger, S",Meet on campus
CS 111,Program Design I,40304,LCD - AS2,12:00 PM - 12:50 PM,MWF,"Hayes, D",Meet on campus
CS 111,Program Design I,44929,LCD - AS3,01:00 PM - 01:50 PM,MWF,,Meet on campus
CS 112,Program Design I in the Context of Biological Problems,45363,LCD - AS,02:00 PM - 03:15 PM,TR,"Poretsky, R; Troy, P",Meet on campus
CS 141,Program Design II,34657,LCD - AS1,11:00 AM - 11:50 AM,MWF,"Theys, M",Meet on campus
CS 141,Program Design II,42032,LCD - AS2,01:00 PM - 01:50 PM,MWF,"Hodges, M",Meet on campus
CS 141,Program Design II,42636,LCD - AS3,10:00 AM - 10:50 AM,MWF,,Meet on campus
CS 141,Program Design II,47230,LCD - AS4,02:00 PM - 02:50 PM,MWF,,Meet on campus
CS 151,Mathematical Foundations of Computing,34858,LEC - AL1,10:00 AM - 10:50 AM,MWF,"Katok, Z",Meet on campus
CS 151,Mathematical Foundations of Computing,40974,LEC - AL2,01:00 PM - 01:50 PM,MWF,"Bello Lander, G",Meet on campus
CS 151,Mathematical Foundations of Computing,42500,LEC - AL3,02:00 PM - 02:50 PM,MWF,"Bello Lander, G",Meet on campus
CS 151,Mathematical Foundations of Computing,47231,LEC - AL4,03:00 PM - 03:50 PM,MWF,,Meet on campus
CS 194,Special Topics in Computer Science,43883,LCD,03:30 PM - 04:45 PM,TR,,
CS 211,Programming Practicum,34861,LCD - AS1,01:00 PM - 01:50 PM,WF,"Kidane, E",Meet on campus
CS 211,Programming Practicum,45953,LCD - AS2,02:00 PM - 02:50 PM,WF,"Reckinger, S",Meet on campus
CS 211,Programming Practicum,45954,LCD - AS3,01:00 PM - 01:50 PM,WF,,Meet on campus
CS 251,Data Structures,42499,LCD - AL3,04:00 PM - 04:50 PM,MWF,"Dey, D",Meet on campus
CS 251,Data Structures,36203,LCD - AL1,12:00 PM - 12:50 PM,MWF,"Koehler, A",Meet on campus
CS 251,Data Structures,40507,LCD - AL2,03:00 PM - 03:50 PM,MWF,"Ordentlich, E",Meet on campus
CS 261,Machine Organization,36391,LCD - AL1,12:30 PM - 01:45 PM,TR,"Diaz Herrera, D",Meet on campus
CS 261,Machine Organization,42498,LCD - AL2,02:00 PM - 03:15 PM,TR,"Diaz Herrera, D",Meet on campus
CS 261,Machine Organization,41014,LCD - AL3,02:00 PM - 03:15 PM,TR,,Meet on campus
CS 277,Technical and Professional Communication in Computer Science,48663,LCD - AS1,09:00 AM - 09:50 AM,M,"Carson, J; Cranch, C",Meet on campus
CS 294,Special Topics in Computer Science,46841,LCD,ARRANGED,,,Online with deadlines
CS 294,Special Topics in Computer Science,46073,LCD,04:00 PM - 04:50 PM,T,"Diaz Herrera, D; Revelo Alonso, R",Meet on campus
CS 294,Special Topics in Computer Science,47562,LCD,05:00 PM - 05:50 PM,MWF,,Meet on campus
CS 294,Special Topics in Computer Science,46072,LCD,05:00 PM - 05:50 PM,W,"Eriksson, J",Meet on campus
CS 294,Special Topics in Computer Science,44176,LCD,06:00 PM - 08:00 PM,W,"Cranch, C",Meet on campus
CS 301,Languages and Automata,45948,LEC - AL3,03:30 PM - 04:45 PM,TR,"McCarty, E",Meet on campus
CS 301,Languages and Automata,45949,LEC - AL4,02:00 PM - 03:15 PM,TR,"Lillis, J",Meet on campus
CS 301,Languages and Automata,42220,LEC - AL2,02:00 PM - 03:15 PM,TR,"Ibrahim, O",Meet on campus
CS 301,Languages and Automata,10647,LEC - AL1,12:30 PM - 01:45 PM,TR,"McCarty, E",Meet on campus
CS 341,Programming Language Design and Implementation,36202,LCD,02:00 PM - 02:50 PM,MWF,"Abbas, S; Garg, K; Jain, S; Solworth, J; Xu, K",Meet on campus
CS 341,Programming Language Design and Implementation,42735,LCD,03:00 PM - 03:50 PM,MWF,"Abbas, S; Garg, K; Jain, S; Solworth, J; Xu, K",Meet on campus
CS 342,Software Design,37162,LCD,11:00 AM - 12:15 PM,TR,"Dasgupta, A; Grosso, V; Hallenbeck, M; Jiang, K; Pham, N; Wang, C",Meet on campus
CS 342,Software Design,40973,LCD,02:00 PM - 03:15 PM,TR,,On campus and online
CS 361,Systems Programming,36535,LCD - AS1,03:30 PM - 04:45 PM,TR,"Maratos, G",Meet on campus
CS 361,Systems Programming,42221,LCD - AS2,02:00 PM - 03:15 PM,TR,,Meet on campus
CS 362,Computer Design,36196,LCD - AS1,12:30 PM - 01:45 PM,TR,"Troy, P",Meet on campus
CS 362,Computer Design,42222,LCD - AS2,11:00 AM - 12:15 PM,TR,,Meet on campus
CS 377,Ethical Issues in Computing,48692,LCD,05:00 PM - 06:15 PM,TR,"Burton, E",Meet on campus
CS 377,Ethical Issues in Computing,48691,LCD,03:30 PM - 04:45 PM,TR,"Clayville, K",Meet on campus
CS 377,Ethical Issues in Computing,38340,LCD,05:00 PM - 06:15 PM,TR,"Clayville, K",Meet on campus
CS 377,Ethical Issues in Computing,44087,LCD,02:00 PM - 03:15 PM,TR,"Clayville, K",Meet on campus
CS 377,Ethical Issues in Computing,42236,LCD,12:30 PM - 01:45 PM,TR,"Burton, E",Meet on campus
CS 377,Ethical Issues in Computing,41404,LCD,12:30 PM - 01:45 PM,TR,"Clayville, K",Meet on campus
CS 377,Ethical Issues in Computing,36199,LCD,02:00 PM - 03:15 PM,TR,"Burton, E",Meet on campus
CS 377,Ethical Issues in Computing,39429,LCD,11:00 AM - 12:15 PM,TR,"Burton, E",Meet on campus
CS 378,Framework-based Software Development for Hand-held Devices,47249,LCD,03:30 PM - 04:45 PM,TR,"Buy, U; Dastidar, S; Rane, S",Meet on campus
CS 394,Special Topics in Computer Science,44123,LCD,02:00 PM - 05:00 PM,R,"Hallenbeck, M",Meet on campus
CS 394,Special Topics in Computer Science,46370,LCD,03:30 PM - 04:45 PM,TR,,Meet on campus
CS 394,Special Topics in Computer Science,46371,LCD,05:00 PM - 06:15 PM,TR,"Mobasheri, N",Meet on campus
CS 401,Computer Algorithms I,20264,LCD,05:00 PM - 06:15 PM,TR,"Grechanik, M; Swift, I",Meet on campus
CS 401,Computer Algorithms I,10671,LCD,05:00 PM - 06:15 PM,TR,"Grechanik, M; Swift, I",Meet on campus
CS 401,Computer Algorithms I,20262,LCD,02:00 PM - 02:50 PM,MWF,"Reyzin, L",On campus and online
CS 401,Computer Algorithms I,10669,LCD,02:00 PM - 02:50 PM,MWF,"Reyzin, L",On campus and online
