Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
CS 478,Software Development for Mobile Platforms,37633,LCD,08:00 AM - 09:15 AM,TR,"Buy, U",On Campus
CS 478,Software Development for Mobile Platforms,37634,LCD,08:00 AM - 09:15 AM,TR,"Buy, U",On Campus
CS 480,Database Systems,19171,LCD,03:30 PM - 04:45 PM,TR,,On Campus
CS 480,Database Systems,43454,LCD,12:00 PM - 12:50 PM,MWF,,On Campus
CS 480,Database Systems,43455,LCD,12:00 PM - 12:50 PM,MWF,,On Campus
CS 480,Database Systems,17438,LCD,03:30 PM - 04:45 PM,TR,,On Campus
CS 485,Networked Operating Systems Programming,41121,LCD,12:30 PM - 01:45 PM,TR,"Solworth, J",On Campus
CS 485,Networked Operating Systems Programming,41112,LCD,12:30 PM - 01:45 PM,TR,"Solworth, J",On Campus
CS 491,Seminar,38500,LCD,ARRANGED,,"Di Eugenio, B",Online Synchronous
CS 494,Special Topics in Computer Science,42271,LCD,10:00 AM - 12:50 PM,W,,On Campus
CS 494,Special Topics in Computer Science,43270,LCD,10:00 AM - 12:50 PM,W,,On Campus
CS 494,Special Topics in Computer Science,42279,LCD,11:00 AM - 12:15 PM,TR,,On Campus
CS 494,Special Topics in Computer Science,42290,LCD,11:00 AM - 12:15 PM,TR,,On Campus
CS 494,Special Topics in Computer Science,42278,LCD,03:00 PM - 04:15 PM,MW,,On Campus
CS 494,Special Topics in Computer Science,42289,LCD,03:00 PM - 04:15 PM,MW,,On Campus
CS 494,Special Topics in Computer Science,42287,LCD,03:00 PM - 04:15 PM,MW,"Lillis, J",On Campus
CS 494,Special Topics in Computer Science,42280,LCD,04:30 PM - 05:45 PM,MW,,On Campus
CS 494,Special Topics in Computer Science,42281,LCD,04:30 PM - 05:45 PM,MW,,On Campus
CS 499,Professional Development Seminar,30640,LCD,ARRANGED,,"Troy, P",Online Asynchronous
CS 501,Computer Algorithms II,33788,LCD,09:00 AM - 09:50 AM,MWF,"Turan, G",Online Synchronous
CS 506,An Introduction to Quantum Computing,41115,LEC,01:00 PM - 01:50 PM,MWF,"DasGupta, B",On Campus
CS 511,Artificial Intelligence II,17442,LCD,10:00 AM - 10:50 AM,MWF,"Gmytrasiewicz, P",On Campus
CS 515,Advanced Computer Vision,43364,LCD,03:00 PM - 04:15 PM,MW,"Tang, W",On Campus
CS 521,Statistical Natural Language Processing,43232,LCD,09:30 AM - 10:45 AM,TR,"Parde, N",On Campus
CS 540,Advanced Topics in Software Engineering,37332,LCD,02:00 PM - 03:15 PM,TR,,On Campus
CS 565,Physical Design Automation,43233,LCD,ARRANGED,,,
CS 566,Parallel Processing,33563,LCD,02:00 PM - 03:15 PM,TR,,On Campus
CS 569,High-Performance Processors and Systems,27021,LCD,11:00 AM - 12:15 PM,TR,,On Campus
CS 581,Database Management Systems,28655,LCD,03:00 PM - 04:15 PM,MW,,On Campus
CS 582,Information Retrieval,38116,LCD,06:30 PM - 09:00 PM,T,"Caragea, C",On Campus
CS 583,Data Mining and Text Mining,25479,LCD,04:30 PM - 07:00 PM,M,"Liu, B",On Campus
CS 587,Computer Systems Security,44286,LCD,03:30 PM - 04:45 PM,TR,"Solworth, J",On Campus
CS 594,Special Topics,33648,LCD,12:30 PM - 01:45 PM,TR,,On Campus
CS 594,Special Topics,33792,LCD,01:00 PM - 03:30 PM,S,,On Campus
CS 594,Special Topics,33649,LCD,02:00 PM - 03:15 PM,TR,,On Campus
CS 594,Special Topics,42282,LCD,06:30 PM - 09:00 PM,R,,On Campus
