Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
ME 540,"Design, Modeling, and Fabrication of Microsystems",4,33282,LCD,02:00 PM - 03:15 PM,2,"Saggere, L",On Campus,Spring,2014,Afternoon,75
ME 541,Microelectronic Fabrication Techniques,4,22184,LCD,04:00 PM - 05:15 PM,2,"Feinerman, A",On Campus,Spring,2014,Afternoon,75
ME 594,Current Topics in Mechanical Engineering,4,36424,LCD,11:00 AM - 12:15 PM,2,"Klatt, D",On Campus,Spring,2014,Morning,75
ME 594,Current Topics in Mechanical Engineering,4,33580,LCD,02:00 PM - 03:15 PM,2,"Minkowycz, W",On Campus,Spring,2014,Afternoon,75
ME 594,Current Topics in Mechanical Engineering,4,15844,LCD,03:00 PM - 03:50 PM,3,"Megaridis, C",On Campus,Spring,2014,Afternoon,50
ME 205,Introduction to Thermodynamics,3,14491,LCD,10:00 AM - 12:30 PM,2,"Manafzadeh, S",On Campus,Summer,2014,Morning,150
ME 210,Engineering Dynamics,3,14492,LCD,01:30 PM - 04:00 PM,2,"Lilley, C",On Campus,Summer,2014,Afternoon,150
ME 428,Numerical Methods in Mechanical Engineering,3,14496,LCD,01:30 PM - 04:00 PM,2,"Manafzadeh, S",On Campus,Summer,2014,Afternoon,150
ME 428,Numerical Methods in Mechanical Engineering,3,14763,LCD,01:30 PM - 04:00 PM,2,"Manafzadeh, S",On Campus,Summer,2014,Afternoon,150
ME 205,Introduction to Thermodynamics,3,12405,LCD,02:00 PM - 02:50 PM,3,"Minkowycz, W",On Campus,Fall,2014,Afternoon,50
ME 210,Engineering Dynamics,3,12407,LCD,01:00 PM - 01:50 PM,3,"Manafzadeh, S",On Campus,Fall,2014,Afternoon,50
ME 211,Fluid Mechanics I,4,12429,LCD,10:00 AM - 10:50 AM,3,"Xu, J",On Campus,Fall,2014,Morning,50
ME 211,Fluid Mechanics I,4,35391,LCD,04:00 PM - 04:50 PM,3,"Siow, Y",On Campus,Fall,2014,Afternoon,50
ME 250,Introduction to Engineering Design and Graphics,3,12457,LEC,12:00 PM - 12:50 PM,3,"Siow, Y",On Campus,Fall,2014,Afternoon,50
ME 250,Introduction to Engineering Design and Graphics,3,35096,LEC,10:00 AM - 10:50 AM,3,"Siow, Y",On Campus,Fall,2014,Morning,50
ME 250,Introduction to Engineering Design and Graphics,3,36752,LEC,02:00 PM - 02:50 PM,3,"Scott, M",On Campus,Fall,2014,Afternoon,50
ME 261,Materials for Manufacturing,2,12472,LCD,04:00 PM - 04:50 PM,3,"Karpov, E",On Campus,Fall,2014,Afternoon,50
ME 308,Mechanical Vibrations,3,29574,LCD,12:00 PM - 12:50 PM,3,"Szwalek, J",On Campus,Fall,2014,Afternoon,50
ME 312,Dynamic Systems and Control,3,22457,LCD,09:30 AM - 10:45 AM,2,"Berniker, M",On Campus,Fall,2014,Morning,75
ME 320,Mechanisms and Dynamics of Machinery,4,12477,LCD,03:30 PM - 05:10 PM,2,"Szwalek, J",On Campus,Fall,2014,Afternoon,100
ME 321,Heat Transfer,4,12488,LCD,04:00 PM - 04:50 PM,3,"Salehi-Khojin, A",On Campus,Fall,2014,Afternoon,50
ME 325,Intermediate Thermodynamics,3,12491,LCD,02:00 PM - 02:50 PM,3,"Siow, Y",On Campus,Fall,2014,Afternoon,50
ME 341,Experimental Methods in Mechanical Engineering,3,12500,LEC,12:00 PM - 12:50 PM,2,"Cha, S",On Campus,Fall,2014,Afternoon,50
ME 341,Experimental Methods in Mechanical Engineering,3,36969,LEC,03:00 PM - 03:50 PM,2,"Cha, S",On Campus,Fall,2014,Afternoon,50
ME 370,Mechanical Engineering Design,3,33053,LCD,11:00 AM - 11:50 AM,3,"Saggere, L",On Campus,Fall,2014,Morning,50
ME 370,Mechanical Engineering Design,3,35401,LCD,12:00 PM - 12:50 PM,3,N/A,On Campus,Fall,2014,Afternoon,50
ME 380,Manufacturing Process Principles,3,12554,LCD,03:00 PM - 03:50 PM,3,"Abiade, J",On Campus,Fall,2014,Afternoon,50
ME 394,Senior Capstone Design,4,37910,LCD,ARRANGED,0,"Brown, M",On Campus,Fall,2014,N/A,0
ME 394,Senior Capstone Design,4,37426,LCD,12:15 PM - 01:55 PM,2,"Brown, M",On Campus,Fall,2014,Afternoon,100
ME 396,Senior Design I,2,37914,LCD,10:00 AM - 10:50 AM,2,"Brown, M",On Campus,Fall,2014,Morning,50
ME 396,Senior Design I,2,12555,LCD,11:00 AM - 11:50 AM,2,"Brown, M",On Campus,Fall,2014,Morning,50
ME 411,Mechatronics I,0,32259,LEC,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Fall,2014,Afternoon,75
ME 411,Mechatronics I,0,32260,LEC,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Fall,2014,Afternoon,75
ME 419,Compressible Flow Theory,3,31434,LCD,02:00 PM - 03:15 PM,2,"Brezinsky, K",On Campus,Fall,2014,Afternoon,75
ME 419,Compressible Flow Theory,3,31443,LCD,02:00 PM - 03:15 PM,2,"Brezinsky, K",On Campus,Fall,2014,Afternoon,75
ME 421,Intermediate Heat Transfer,3,12506,LEC,11:00 AM - 11:50 AM,3,"Manafzadeh, S",On Campus,Fall,2014,Morning,50
ME 421,Intermediate Heat Transfer,3,20381,LEC,11:00 AM - 11:50 AM,3,"Manafzadeh, S",On Campus,Fall,2014,Morning,50
ME 424,Energy Management Solutions for Industry: Theory and Practice,3,32699,LEC,ARRANGED,0,"Ryan, W",On Campus,Fall,2014,N/A,0
ME 424,Energy Management Solutions for Industry: Theory and Practice,3,32700,LEC,ARRANGED,0,"Ryan, W",On Campus,Fall,2014,N/A,0
ME 428,Numerical Methods in Mechanical Engineering,3,12513,LCD,01:00 PM - 01:50 PM,3,"Aggarwal, S",On Campus,Fall,2014,Afternoon,50
ME 428,Numerical Methods in Mechanical Engineering,3,20382,LCD,01:00 PM - 01:50 PM,3,"Aggarwal, S",On Campus,Fall,2014,Afternoon,50
ME 429,Internal Combustion Engines,3,29092,LCD,06:00 PM - 08:30 PM,1,"Baranescu, R",On Campus,Fall,2014,Evening,150
ME 429,Internal Combustion Engines,3,29093,LCD,06:00 PM - 08:30 PM,1,"Baranescu, R",On Campus,Fall,2014,Evening,150
ME 444,Interdisciplinary Product Development I,3,27413,LCD,ARRANGED,0,"Scott, M",On Campus,Fall,2014,N/A,0
ME 444,Interdisciplinary Product Development I,3,28572,LCD,ARRANGED,0,"Scott, M",On Campus,Fall,2014,N/A,0
ME 447,Computer-Aided Design,0,12519,LEC,10:00 AM - 10:50 AM,2,"Amirouche, F",On Campus,Fall,2014,Morning,50
ME 447,Computer-Aided Design,0,20386,LEC,10:00 AM - 10:50 AM,2,"Amirouche, F",On Campus,Fall,2014,Morning,50
ME 447,Computer-Aided Design,0,35407,LEC,02:00 PM - 02:50 PM,2,N/A,On Campus,Fall,2014,Afternoon,50
ME 447,Computer-Aided Design,0,35404,LEC,02:00 PM - 02:50 PM,2,N/A,On Campus,Fall,2014,Afternoon,50
ME 464,Virtual Automation,0,12557,LCD,02:00 PM - 02:50 PM,3,"Banerjee, P",On Campus,Fall,2014,Afternoon,50
ME 464,Virtual Automation,0,20376,LCD,02:00 PM - 02:50 PM,3,"Banerjee, P",On Campus,Fall,2014,Afternoon,50
ME 494,Special Topics in Mechanical Engineering,3,12524,LCD,03:30 PM - 04:45 PM,2,"Megaridis, C",On Campus,Fall,2014,Afternoon,75
ME 494,Special Topics in Mechanical Engineering,3,20426,LCD,03:30 PM - 04:45 PM,2,"Megaridis, C",On Campus,Fall,2014,Afternoon,75
ME 499,Professional Development Seminar,0,27805,LCD,ARRANGED,0,"Manafzadeh, S",On Campus,Fall,2014,N/A,0
ME 501,Advanced Thermodynamics,4,33758,LCD,ARRANGED,0,"Lock, A",On Campus,Fall,2014,N/A,0
ME 505,Computer Aided Analysis of Multibody Systems II,4,31436,LCD,02:00 PM - 03:15 PM,2,"Shabana, A",On Campus,Fall,2014,Afternoon,75
ME 512,Automatic Control of Mechanical Systems,4,35405,LCD,05:30 PM - 06:45 PM,2,"Cetinkunt, S",On Campus,Fall,2014,Evening,75
ME 528,Numerical Heat Transfer,4,32258,LCD,04:00 PM - 06:30 PM,1,"Mashayek, F",On Campus,Fall,2014,Afternoon,150
ME 594,Current Topics in Mechanical Engineering,4,31438,LCD,09:30 AM - 10:45 AM,2,"Yarin, A",On Campus,Fall,2014,Morning,75
ME 594,Current Topics in Mechanical Engineering,4,33550,LCD,03:30 PM - 04:45 PM,2,"Klatt, D",On Campus,Fall,2014,Afternoon,75
ME 594,Current Topics in Mechanical Engineering,4,32683,LCD,05:00 PM - 07:30 PM,1,"Pan, Y",On Campus,Fall,2014,Evening,150
ME 205,Introduction to Thermodynamics,3,15795,LCD,02:00 PM - 02:50 PM,3,"Manafzadeh, S",On Campus,Spring,2015,Afternoon,50
ME 210,Engineering Dynamics,3,15796,LCD,04:00 PM - 04:50 PM,3,"Amirouche, F",On Campus,Spring,2015,Afternoon,50
ME 211,Fluid Mechanics I,4,21434,LCD,03:00 PM - 03:50 PM,3,"Xu, J",On Campus,Spring,2015,Afternoon,50
ME 250,Introduction to Engineering Design and Graphics,3,15805,LEC,09:00 AM - 09:50 AM,3,"Siow, Y",On Campus,Spring,2015,Morning,50
ME 250,Introduction to Engineering Design and Graphics,3,35050,LEC,02:00 PM - 02:50 PM,3,"Siow, Y",On Campus,Spring,2015,Afternoon,50
ME 250,Introduction to Engineering Design and Graphics,3,36292,LEC,11:00 AM - 11:50 AM,3,"Scott, M",On Campus,Spring,2015,Morning,50
ME 261,Materials for Manufacturing,2,24298,LCD,03:00 PM - 03:50 PM,3,"Cowens, P; Wang, H",On Campus,Spring,2015,Afternoon,50
ME 308,Mechanical Vibrations,3,35710,LCD,10:00 AM - 10:50 AM,3,"Szwalek, J",On Campus,Spring,2015,Morning,50
ME 308,Mechanical Vibrations,3,15806,LCD,01:00 PM - 01:50 PM,3,"Szwalek, J",On Campus,Spring,2015,Afternoon,50
ME 312,Dynamic Systems and Control,3,35719,LCD,01:00 PM - 01:50 PM,3,"Shabana, A",On Campus,Spring,2015,Afternoon,50
ME 320,Mechanisms and Dynamics of Machinery,4,15808,LCD,02:00 PM - 03:40 PM,2,"Szwalek, J",On Campus,Spring,2015,Afternoon,100
ME 321,Heat Transfer,4,15812,LCD,12:00 PM - 12:50 PM,3,"Siow, Y",On Campus,Spring,2015,Afternoon,50
ME 321,Heat Transfer,4,37327,LCD,11:00 AM - 11:50 AM,3,"Manafzadeh, S",On Campus,Spring,2015,Morning,50
ME 325,Intermediate Thermodynamics,3,15813,LCD,02:00 PM - 02:50 PM,3,"Salehi-Khojin, A",On Campus,Spring,2015,Afternoon,50
ME 341,Experimental Methods in Mechanical Engineering,3,15819,LEC,01:00 PM - 01:50 PM,2,"Cha, S",On Campus,Spring,2015,Afternoon,50
ME 370,Mechanical Engineering Design,3,33178,LCD,12:00 PM - 12:50 PM,3,"Saggere, L",On Campus,Spring,2015,Afternoon,50
ME 380,Manufacturing Process Principles,3,15847,LCD,09:00 AM - 09:50 AM,3,"Abiade, J",On Campus,Spring,2015,Morning,50
ME 396,Senior Design I,2,37731,LCD,ARRANGED,0,"Brown, M",On Campus,Spring,2015,N/A,0
ME 396,Senior Design I,2,15848,LCD,03:30 PM - 04:30 PM,2,"Brown, M",On Campus,Spring,2015,Afternoon,60
ME 397,Senior Design Il,2,37339,LCD,ARRANGED,0,"Brown, M",On Campus,Spring,2015,N/A,0
ME 397,Senior Design Il,2,36801,LCD,12:30 PM - 01:20 PM,2,"Brown, M",On Campus,Spring,2015,Afternoon,50
ME 412,Dynamic Systems Analysis I,3,31453,LCD,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Spring,2015,Afternoon,75
ME 412,Dynamic Systems Analysis I,3,31901,LCD,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Spring,2015,Afternoon,75
ME 417,Intermediate Fluid Mechanics,3,31454,LCD,09:00 AM - 09:50 AM,3,"Abbassi, H",On Campus,Spring,2015,Morning,50
ME 417,Intermediate Fluid Mechanics,3,31902,LCD,09:00 AM - 09:50 AM,3,"Abbassi, H",On Campus,Spring,2015,Morning,50
