Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 205,Introduction to Thermodynamics,14491,LCD,01:00 PM - 03:30 PM,MW,"Siow, Y",Meet on campus
ME 210,Engineering Dynamics,14492,LCD,10:00 AM - 12:30 PM,MW,"Manafzadeh, S",Meet online at set times
ME 347,Engineering Design and Graphics with Computer-Aided Design and Simulation,21974,LEC - AL,10:00 AM - 12:00 PM,TR,"Hatami Marbini, H",On campus and online
ME 428,Numerical Methods in Mechanical Engineering,14496,LCD,01:00 PM - 03:30 PM,MW,"Komperda, J",On campus and online
ME 428,Numerical Methods in Mechanical Engineering,14763,LCD,01:00 PM - 03:30 PM,MW,"Komperda, J",On campus and online
