YEAR,SEMESTER,CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,DFR,I,NR,S,U,W,Primary Instructor,Grade Regs
2020,Fall,CS,480,Database Systems,2699,Computer Science,26,10,3,14,0,0,0,0,0,0,1,"Wolfson, Ouri",54
2020,Fall,CS,494,Intro. to Cryptography,2699,Computer Science,8,8,1,3,0,0,0,0,0,0,1,"Miao, Peihan",21
2020,Fall,CS,494,Wearable Technologies,2699,Computer Science,11,1,0,0,0,0,0,0,0,0,0,"Hummel, Joseph E",12
2020,Fall,CS,503,Applied Graph Theory,2699,Computer Science,31,0,0,0,0,0,0,0,0,0,0,"DasGupta, Bhaskar",31
2020,Fall,CS,514,App Artificial Intelligence,2699,Computer Science,7,7,0,0,0,0,0,0,0,0,0,"Gmytrasiewicz, Piotr",14
2020,Fall,CS,520,Causal Inference and Learning,2699,Computer Science,13,2,1,0,0,0,0,0,0,0,0,"Zheleva, Elena",16
2020,Fall,CS,522,Human-Computer Interaction,2699,Computer Science,11,6,0,0,0,0,0,0,0,0,1,"Chattopadhyay, Debaleena",18
2020,Fall,CS,529,Visual Data Science,2699,Computer Science,18,2,1,0,0,0,0,0,0,0,0,"Marai, Georgeta-Elisabeta",21
2020,Fall,CS,553,Distributed Systems,2699,Computer Science,10,3,0,0,0,0,0,0,0,0,0,"Kshemkalyani, Ajay D",13
2020,Fall,CS,568,Adv Security & Privacy,2699,Computer Science,13,0,0,0,0,0,0,0,0,0,0,"Polakis, Jason",13
2020,Fall,CS,583,Data Mining & Text Mining,2699,Computer Science,25,19,3,0,1,0,0,0,0,0,1,"Liu, Bing",49
2020,Fall,CS,584,Advanced Data Mining,2699,Computer Science,16,2,0,0,0,0,0,0,0,0,0,"Yu, Philip S",18
2020,Fall,CS,586,Data and Web Semantics,2699,Computer Science,13,0,0,0,0,0,0,3,0,0,0,"Cruz, Isabel",16
2020,Fall,CS,594,Deep Learning for NLP,2699,Computer Science,28,0,0,0,0,0,0,0,0,0,0,"Caragea, Cornelia Alexandra",28
2020,Fall,CS,594,Resp. Data Sci. & Algo Fair.,2699,Computer Science,9,1,0,0,0,0,0,0,0,0,0,"Asudeh, Abolfazl",10
2021,Spring,CS,100,Discovering Computer Science,2699,Computer Science,29,8,9,5,9,0,0,0,0,0,11,"Reed, Dale F",71
2021,Spring,CS,107,Intro Comp & Programming,2699,Computer Science,50,17,12,3,16,0,0,0,0,0,5,"Reckinger, Scott J",103
2021,Spring,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,115,47,27,29,28,0,0,0,0,0,14,"Koehler, Adam Thomas",260
2021,Spring,CS,111,Program Design I,2699,Computer Science,51,32,30,10,29,0,10,0,0,0,17,"Hayes, David P",179
2021,Spring,CS,141,Program Design II,2699,Computer Science,68,64,32,22,47,0,10,0,0,0,26,"Hummel, Joseph E",269
2021,Spring,CS,151,Foundations of Computing,2699,Computer Science,139,83,49,13,29,0,0,0,0,0,18,"McCarty, Evan",331
2021,Spring,CS,211,Programming Practicum,2699,Computer Science,130,32,14,7,25,0,0,0,0,0,19,"Mobasheri, Nasim",227
2021,Spring,CS,251,Data Structures,2699,Computer Science,92,55,32,22,62,0,4,0,0,0,29,"Reckinger, Shanon Marie",296
2021,Spring,CS,261,Machine Organization,2699,Computer Science,58,41,10,63,43,0,3,0,0,0,26,"Diazh, Diana Mabel",244
2021,Spring,CS,294,Unix Terminal Bootcamp,2699,Computer Science,0,71,0,0,20,0,0,0,0,0,3,"Eriksson, Jakob L",94
2021,Spring,CS,301,Languages and Automata,2699,Computer Science,79,48,10,25,24,0,0,0,0,0,6,"Bello Lander, Gonzalo Alejandro",192
2021,Spring,CS,341,Programming Language Concepts,2699,Computer Science,79,54,9,38,13,0,0,0,0,0,1,"Deitz, Sean M",194
2021,Spring,CS,342,Software Design,2699,Computer Science,98,45,8,20,16,0,1,0,0,0,6,"Hallenbeck, Mark",194
2021,Spring,CS,361,Systems Programming,2699,Computer Science,57,41,16,49,4,0,7,0,0,0,3,"Kanich, Chris",177
2021,Spring,CS,362,Computer Design,2699,Computer Science,86,35,33,20,13,0,0,0,0,0,3,"Theys, Mitchell D",190
2021,Spring,CS,377,Communication and Ethics,2699,Computer Science,95,14,7,0,5,0,0,0,0,0,1,"Burton, Emanuelle Neuman",122
2021,Spring,CS,377,Communication and Ethics,2699,Computer Science,54,3,1,0,2,0,0,0,0,0,0,"Clayville, Kristel",60
2021,Spring,CS,407,Computational Finance,2699,Computer Science,34,6,1,13,8,0,1,0,0,0,5,"Kash, Ian Alexander",68
2021,Spring,CS,411,Artificial Intelligence I,2699,Computer Science,36,24,8,2,0,0,1,0,0,0,2,"Gmytrasiewicz, Piotr",73
2021,Spring,CS,412,Intro to Machine Learning,2699,Computer Science,36,14,0,6,1,0,0,0,0,0,4,"Zhang, Xinhua",61
2021,Spring,CS,412,Intro to Machine Learning,2699,Computer Science,20,6,0,6,7,0,0,0,0,0,4,"Zheleva, Elena",43
2021,Spring,CS,418,Introduction to Data Science,2699,Computer Science,50,12,1,0,0,0,0,0,0,0,0,"Bello Lander, Gonzalo Alejandro",63
2021,Spring,CS,418,Introduction to Data Science,2699,Computer Science,35,14,2,7,0,0,0,0,0,0,0,"Mobasheri, Nasim",58
2021,Spring,CS,422,User Interface Design,2699,Computer Science,52,35,22,7,1,0,0,0,0,0,0,"Chattopadhyay, Debaleena",117
2021,Spring,CS,424,Visual Analytics,2699,Computer Science,6,3,4,3,5,0,0,0,0,0,5,"Johnson, Andrew E",26
2021,Spring,CS,425,Computer Graphics I,2699,Computer Science,19,10,2,3,5,0,0,0,0,0,4,"Miranda, Fabio",43
2021,Spring,CS,426,Video Game Design,2699,Computer Science,26,15,1,2,0,0,0,0,0,0,3,"Marai, Georgeta-Elisabeta",47
2021,Spring,CS,440,Software Engr I,2699,Computer Science,40,39,2,1,2,0,0,0,0,0,1,"Bell, John T",85
2021,Spring,CS,442,Software Engineering II,2699,Computer Science,25,14,4,0,0,0,0,0,0,0,0,"Bell, John T",43
2021,Spring,CS,450,Intro to Networking,2699,Computer Science,13,16,4,3,1,0,0,0,0,0,0,"Kshemkalyani, Ajay D",37
2021,Spring,CS,461,Operating Systems,2699,Computer Science,5,1,4,1,3,0,0,0,0,0,2,"Wu, Xingbo",16
2021,Spring,CS,468,Network Security,2699,Computer Science,2,4,1,4,3,0,0,0,0,0,0,"Polakis, Jason",14
2021,Spring,CS,473,Compiler Design,2699,Computer Science,12,1,3,1,1,0,0,0,0,0,0,"Mansky, William Ernest",18
2021,Spring,CS,474,Obj-Oriented Langs & Envs,2699,Computer Science,22,17,9,6,1,0,0,0,0,0,1,"Buy, Ugo A",56
2021,Spring,CS,476,Programming Language Dsgn,2699,Computer Science,4,1,0,1,4,0,0,0,0,0,3,"Grechanik, Mark",13
