Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 504,Computer Aided Analysis of Multibody Systems I,33078,LCD,03:30 PM - 04:45 PM,TR,,Meet on campus
ME 505,Computer Aided Analysis of Multibody Systems II,31436,LCD,03:30 PM - 04:45 PM,TR,,Online with deadlines
ME 508,Engineering Acoustics,33079,LCD,ARRANGED,,,
ME 510,Robotic Manipulators,47106,LCD,02:00 PM - 03:15 PM,MW,,Meet on campus
ME 512,Automatic Control of Mechanical Systems,35405,LCD,05:30 PM - 06:45 PM,MW,,
ME 514,Mechanics of Viscous Fluids,44822,LCD,09:30 AM - 10:45 AM,TR,,Meet on campus
ME 515,Micro- and Nano-Transport Phenomena,40742,LCD,09:00 AM - 10:15 AM,MW,,Meet on campus
ME 517,Microfluidics: Fundamentals and Applications,48458,LCD,09:30 AM - 10:45 AM,TR,"Xu, J",Meet on campus
ME 518,Fundamentals of Turbulence,39468,LCD,02:00 PM - 03:15 PM,TR,,Meet on campus
ME 520,Elastography,47500,LEC,03:30 PM - 04:45 PM,TR,"Klatt, D",Meet on campus
ME 524,Thermal Radiation,31439,LCD,ARRANGED,,,
ME 528,Numerical Heat Transfer,40645,LCD,12:30 PM - 01:45 PM,TR,,
ME 528,Numerical Heat Transfer,32258,LCD,04:00 PM - 06:30 PM,M,"Mashayek, F",Meet on campus
ME 533,Plasma Engineering,28664,LCD,ARRANGED,,,
ME 533,Plasma Engineering,33080,LCD,ARRANGED,,,
ME 536,Chemically Reacting Flows,40743,LCD,12:30 PM - 01:45 PM,TR,,
ME 542,Advanced Computational Methods for Product and Process Design,45845,LCD,03:30 PM - 04:45 PM,TR,,Meet on campus
ME 547,Advanced Concepts in Computer-Aided Engineering,39521,LCD,02:00 PM - 02:50 PM,MWF,,
ME 547,Advanced Concepts in Computer-Aided Engineering,40683,LCD,04:00 PM - 06:30 PM,W,,
ME 562,Biomedical Implants in Orthopedics and Dentistry,42663,LCD,03:00 PM - 05:30 PM,M,"Mathew, M",Meet on campus
ME 594,Current Topics in Mechanical Engineering,33551,LCD,01:00 PM - 02:15 PM,MW,,Meet on campus
ME 594,Current Topics in Mechanical Engineering,33550,LCD,10:30 AM - 11:45 AM,MW,"Salehi-Khojin, A",Meet on campus
ME 594,Current Topics in Mechanical Engineering,38559,LCD,01:00 PM - 02:15 PM,MW,"Jung, E",Meet on campus
ME 594,Current Topics in Mechanical Engineering,31438,LCD,09:30 AM - 10:45 AM,TR,,Meet on campus
ME 594,Current Topics in Mechanical Engineering,40660,LCD,09:30 AM - 10:45 AM,MW,,Meet on campus
ME 594,Current Topics in Mechanical Engineering,27650,LCD,02:00 PM - 03:15 PM,TR,"Klatt, D",Meet on campus
