Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
CS 100,Discovering Computer Science,10615,LCD - AS1,09:00 AM - 09:50 AM,MWF,"Bell, J",Meet on campus
CS 107,Introduction to Computing and Programming,10634,LEC - AL1,10:00 AM - 10:50 AM,MWF,"Solworth, J",Meet on campus
CS 109,Programming for Engineers with MatLab,36425,LCD - BS1,12:00 PM - 12:50 PM,MW,"Kanich, C; Lillis, J",Meet on campus
CS 109,Programming for Engineers with MatLab,46120,LCD - BS2,01:00 PM - 01:50 PM,MW,"Kanich, C; Lillis, J",Meet on campus
CS 109,Programming for Engineers with MatLab,46121,LCD - BS3,10:00 AM - 10:50 AM,MW,"Kanich, C; Lillis, J",Meet on campus
CS 111,Program Design I,34656,LCD - AS1,12:00 PM - 12:50 PM,MWF,"Reckinger, S",Meet on campus
CS 111,Program Design I,44929,LCD - AS2,01:00 PM - 01:50 PM,MWF,"Reckinger, S",Meet on campus
CS 111,Program Design I,40304,LCD - AS3,09:00 AM - 09:50 AM,MWF,"Reckinger, S",On campus and online
CS 112,Program Design I in the Context of Biological Problems,45363,LCD - AS,03:30 PM - 04:45 PM,TR,"Igic, B; Theys, M",Meet on campus
CS 141,Program Design II,34657,LCD - AS1,09:00 AM - 09:50 AM,MWF,"Kidane, E",Meet on campus
CS 141,Program Design II,42636,LCD - AS2,10:00 AM - 10:50 AM,MWF,"Kidane, E",Meet on campus
CS 141,Program Design II,42032,LCD - AS3,01:00 PM - 01:50 PM,MWF,"Riazi, S",Meet on campus
CS 141,Program Design II,47230,LCD - AS4,02:00 PM - 02:50 PM,MWF,"Riazi, S",Meet on campus
CS 151,Mathematical Foundations of Computing,47231,LEC - AL4,03:00 PM - 03:50 PM,MWF,"McCarty, E",Meet on campus
CS 151,Mathematical Foundations of Computing,42500,LEC - AL3,02:00 PM - 02:50 PM,MWF,"McCarty, E",Meet on campus
CS 151,Mathematical Foundations of Computing,34858,LEC - AL1,12:00 PM - 12:50 PM,MWF,"Sidiropoulos, A",Meet on campus
CS 151,Mathematical Foundations of Computing,40974,LEC - AL2,01:00 PM - 01:50 PM,MWF,"Sidiropoulos, A",Meet on campus
CS 211,Programming Practicum,34861,LCD - AS,12:00 PM - 12:50 PM,F,"Kidane, E; Reed, D",Meet on campus
CS 211,Programming Practicum,45953,LCD - AS2,10:00 AM - 10:50 AM,F,"Reed, D",Meet on campus
CS 211,Programming Practicum,45954,LCD - AS3,01:00 PM - 01:50 PM,F,"Reed, D",Meet on campus
CS 251,Data Structures,36203,LCD - AL1,09:00 AM - 09:50 AM,MWF,"Koehler, A",Meet on campus
