Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
CS 440,Software Engineering I,4,41680,LCD,10:00 AM - 10:50 AM,3,"Bell, J",Meet on campus,Fall,2022,Morning,50
CS 440,Software Engineering I,4,38984,LCD,12:00 PM - 12:50 PM,3,"Bell, J",Meet on campus,Fall,2022,Afternoon,50
CS 440,Software Engineering I,4,38985,LCD,12:00 PM - 12:50 PM,3,"Bell, J",Meet on campus,Fall,2022,Afternoon,50
CS 441,Engineering Distributed Objects For Cloud Computing,4,39826,LCD,02:00 PM - 03:15 PM,2,"Grechanik, M",Meet on campus,Fall,2022,Afternoon,75
CS 441,Engineering Distributed Objects For Cloud Computing,4,39827,LCD,02:00 PM - 03:15 PM,2,"Grechanik, M",Meet on campus,Fall,2022,Afternoon,75
CS 450,Introduction to Networking,4,10677,LEC,03:00 PM - 04:15 PM,2,"Kshemkalyani, A",Meet on campus,Fall,2022,Afternoon,75
CS 450,Introduction to Networking,4,20271,LEC,03:00 PM - 04:15 PM,2,"Kshemkalyani, A",Meet on campus,Fall,2022,Afternoon,75
CS 453,Introduction to Parallel and Distributed Processing,4,47563,LCD,04:30 PM - 05:45 PM,2,"Kshemkalyani, A",Meet on campus,Fall,2022,Afternoon,75
CS 453,Introduction to Parallel and Distributed Processing,4,47564,LCD,04:30 PM - 05:45 PM,2,"Kshemkalyani, A",Meet on campus,Fall,2022,Afternoon,75
CS 461,Operating Systems Design and Implementation,4,42521,LCD,12:00 PM - 12:50 PM,3,"Solworth, J",Meet on campus,Fall,2022,Afternoon,50
CS 461,Operating Systems Design and Implementation,4,43861,LCD,12:00 PM - 12:50 PM,3,"Solworth, J",Meet on campus,Fall,2022,Afternoon,50
CS 466,Advanced Computer Architecture,4,28472,LCD,11:00 AM - 12:15 PM,2,"Zhu, Z",Meet on campus,Fall,2022,Morning,75
CS 466,Advanced Computer Architecture,4,28473,LCD,11:00 AM - 12:15 PM,2,"Zhu, Z",Meet on campus,Fall,2022,Morning,75
CS 473,Compiler Design,4,47255,LCD,11:00 AM - 12:15 PM,2,"Ganchinho de Pina, L",Meet on campus,Fall,2022,Morning,75
CS 473,Compiler Design,4,47256,LCD,11:00 AM - 12:15 PM,2,"Ganchinho de Pina, L",Meet on campus,Fall,2022,Morning,75
CS 474,Object-Oriented Languages and Environments,4,38902,LCD,12:30 PM - 01:45 PM,2,"Buy, U",Meet on campus,Fall,2022,Afternoon,75
CS 474,Object-Oriented Languages and Environments,4,38903,LCD,12:30 PM - 01:45 PM,2,"Buy, U",Meet on campus,Fall,2022,Afternoon,75
CS 474,Object-Oriented Languages and Environments,4,10680,LCD,05:00 PM - 06:15 PM,2,"Grechanik, M",Meet on campus,Fall,2022,Evening,75
CS 474,Object-Oriented Languages and Environments,4,20205,LCD,05:00 PM - 06:15 PM,2,"Grechanik, M",Meet on campus,Fall,2022,Evening,75
CS 476,Programming Language Design,4,42740,LCD,10:00 AM - 10:50 AM,3,"Mansky, W",Meet on campus,Fall,2022,Morning,50
CS 476,Programming Language Design,4,42741,LCD,10:00 AM - 10:50 AM,3,"Mansky, W",Meet on campus,Fall,2022,Morning,50
CS 477,"Public Policy, Legal, and Ethical Issues in Computing, Privacy, and Security",4,48168,LCD,09:30 AM - 10:45 AM,2,"McCarty, E",On Campus,Fall,2022,Morning,75
CS 477,"Public Policy, Legal, and Ethical Issues in Computing, Privacy, and Security",4,48169,LCD,09:30 AM - 10:45 AM,2,"McCarty, E",On Campus,Fall,2022,Morning,75
CS 478,Software Development for Mobile Platforms,4,41618,LCD,03:30 PM - 04:45 PM,2,"Buy, U",Meet on campus,Fall,2022,Afternoon,75
CS 478,Software Development for Mobile Platforms,4,41619,LCD,03:30 PM - 04:45 PM,2,"Buy, U",Meet on campus,Fall,2022,Afternoon,75
CS 480,Database Systems,4,10682,LCD,01:00 PM - 01:50 PM,3,"Hayes, D",Meet on campus,Fall,2022,Afternoon,50
CS 480,Database Systems,4,13947,LCD,01:00 PM - 01:50 PM,3,"Hayes, D",Meet on campus,Fall,2022,Afternoon,50
CS 480,Database Systems,4,41677,LCD,02:00 PM - 02:50 PM,3,"Hayes, D",Meet on campus,Fall,2022,Afternoon,50
CS 480,Database Systems,4,41678,LCD,02:00 PM - 02:50 PM,3,"Hayes, D",Meet on campus,Fall,2022,Afternoon,50
CS 484,Secure Web Application Development,4,46593,LCD,02:00 PM - 02:50 PM,3,"Kanich, C",Meet on campus,Fall,2022,Afternoon,50
CS 484,Secure Web Application Development,4,46594,LCD,02:00 PM - 02:50 PM,3,"Kanich, C",Meet on campus,Fall,2022,Afternoon,50
CS 491,Seminar,4,39059,LCD,ARRANGED,0,"Di Eugenio, B",On campus and online,Fall,2022,N/A,0
CS 494,Special Topics in Computer Science,4,45500,LCD,11:00 AM - 12:15 PM,2,"Soni, N",Meet on campus,Fall,2022,Morning,75
CS 494,Special Topics in Computer Science,4,45501,LCD,11:00 AM - 12:15 PM,2,"Soni, N",Meet on campus,Fall,2022,Morning,75
CS 499,Professional Development Seminar,0,32402,LCD,ARRANGED,0,"Bell, J",On Campus,Fall,2022,N/A,0
CS 501,Computer Algorithms II,4,34850,LCD,05:00 PM - 06:15 PM,2,"Asudeh, A",Meet on campus,Fall,2022,Evening,75
CS 506,An Introduction to Quantum Computing,4,47565,LEC,02:00 PM - 02:50 PM,3,"DasGupta, B",Meet on campus,Fall,2022,Afternoon,50
CS 514,Applied Artificial Intelligence,4,22882,LCD,10:00 AM - 10:50 AM,3,"Gmytrasiewicz, P",Meet on campus,Fall,2022,Morning,50
CS 520,Causal Inference and Learning,4,45269,LCD,11:00 AM - 12:15 PM,2,"Zheleva, E",Meet on campus,Fall,2022,Morning,75
CS 522,Human-Computer Interaction,4,37373,LCD,12:30 PM - 01:45 PM,2,"Kerne, A",Meet on campus,Fall,2022,Afternoon,75
CS 529,Visual Data Science,4,47569,LCD,02:00 PM - 03:15 PM,2,"Marai, G",Meet on campus,Fall,2022,Afternoon,75
CS 559,Neural Networks,4,25622,LCD,02:00 PM - 03:15 PM,2,"Koyuncu, E",Meet on campus,Fall,2022,Afternoon,75
CS 582,Information Retrieval,4,47257,LCD,03:00 PM - 05:30 PM,1,"Caragea, C",Meet on campus,Fall,2022,Afternoon,150
CS 583,Data Mining and Text Mining,4,30286,LCD,12:30 PM - 01:45 PM,2,"Liu, B",Meet on campus,Fall,2022,Afternoon,75
CS 584,Advanced Data Mining,4,33487,LEC,09:30 AM - 10:45 AM,2,"Yu, P",Meet on campus,Fall,2022,Morning,75
